bElement,Symbol,Concentration_mg_kg,Uncertainty_mg_kg,Value_Type,Notes
Aluminum,Al,44700,500,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Antimony,Sb,1.87,0.07,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Arsenic,As,32.9,3.9,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Barium,Ba,1648,39,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Beryllium,Be,15.2,0.8,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Bismuth,Bi,4.05,0.155,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Boron,B,108,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6630; Peroxide Fusion ICP; official indicative (uncertified) value; no uncertainty assigned
Cadmium,Cd,0.52,0.06,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Calcium,Ca,8510,400,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Cerium,Ce,15500,500,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Cesium,Cs,0.29,0.01,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Chromium,Cr,335,32,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Cobalt,Co,17,0.4,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Copper,Cu,92,1.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Dysprosium,Dy,182,4.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Erbium,Er,36.9,1.05,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Europium,Eu,334,12.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Gadolinium,Gd,670,19,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Gallium,Ga,97,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Germanium,Ge,18.4,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; official indicative (uncertified) value; no uncertainty assigned
Hafnium,Hf,7.79,1.055,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Holmium,Ho,21.3,0.6,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Indium,In,2.11,0.075,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Iron,Fe,355500,9300,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Lanthanum,La,10600,2050,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Lead,Pb,205,21,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Lithium,Li,8.26,0.675,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Lutetium,Lu,1.57,0.195,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Magnesium,Mg,8250,300,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Manganese,Mn,2700,120,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Molybdenum,Mo,77,3,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Neodymium,Nd,9590,170,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Nickel,Ni,89,4.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Niobium,Nb,1903,60.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; Borate / Peroxide Fusion ICP; uncertainty is the half-width of the published 95% confidence interval; used because no 4-acid certified value is reported
Phosphorus,P,13600,500,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Potassium,K,810,90,Certified,"Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Praseodymium,Pr,2601,84.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6630; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
