bElement,Symbol,Concentration_mg_kg,Uncertainty_mg_kg,Value_Type,Notes
Aluminum,Al,57100,800,Certified,"Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Antimony,Sb,2.17,0.165,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Arsenic,As,30.8,0.9,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Barium,Ba,1037,22.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Beryllium,Be,3.57,0.205,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Bismuth,Bi,2.69,0.1,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Boron,B,150,,Non-Certified,Source: https://www.oreas.com/downloads/?fileId=6624; Borate / Peroxide Fusion ICP; official indicative (uncertified) value; no uncertainty assigned
Cadmium,Cd,0.2,,Certified Upper Limit,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; certificate reports <0.2 ppm; numeric concentration stores the upper limit; uncertainty is indeterminate
Calcium,Ca,12500,550,Certified,"Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; converted from wt.% to mg/kg (x10,000); uncertainty is the half-width of the published 95% confidence interval"
Cerium,Ce,4984,157.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Cesium,Cs,0.45,0.04,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Chromium,Cr,502,56.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Cobalt,Co,13,0.55,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Copper,Cu,61,1,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
Dysprosium,Dy,51,0.5,Certified,Source: https://www.oreas.com/downloads/?fileId=6624; 4-Acid Digestion; uncertainty is the half-width of the published 95% confidence interval
